Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Strength Training,2020-10-20 08:47:05,false,"Strength","0.00","423","00:58:35","113","139","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","142","20","58:35","0:00","80.6","0:00","No","58:34.89","1","0.0","19","19","19"
Strength Training,2020-10-19 08:01:40,false,"Strength","0.00","513","00:59:05","122","146","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","239","28","59:05","0:00","77.0","0:00","No","59:05.46","1","0.0","20","20","20"
Cardio,2020-10-19 07:57:44,false,"Cardio","0.00","15","00:01:45.7","110","124","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:45.7","0:00","78.8","0:00","No","01:45.70","1","0.0","14","14","14"
Cardio,2020-10-18 13:21:34,false,"Cardio","0.00","437","00:31:09","145","174","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","31:09","0:00","82.4","0:00","No","31:09.06","1","0.0","--","--","--"
Strength Training,2020-10-18 12:29:30,false,"Strength","0.00","409","00:51:49","117","146","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","189","26","51:49","0:00","82.4","0:00","No","51:49.29","1","0.0","17","17","17"
Cardio,2020-10-15 16:34:20,false,"Cardio","0.00","695","00:59:04","136","184","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","59:04","0:00","84.2","0:00","No","59:04.12","1","0.0","15","15","15"
Strength Training,2020-10-15 07:51:29,false,"Strength","0.00","577","01:16:44","117","141","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","362","38","1:16:44","0:00","80.6","0:00","No","01:16:43.88","1","0.0","20","20","20"
Cardio,2020-10-14 09:48:32,false,"Cardio","0.00","327","00:24:05","142","177","2.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","24:05","0:00","77.0","0:00","No","24:04.89","1","0.0","--","--","--"
Strength Training,2020-10-14 08:25:41,false,"Strength","0.00","539","01:22:37","111","133","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","322","40","1:22:37","0:00","78.8","0:00","No","01:22:37.12","1","0.0","12","12","12"
Cardio,2020-10-13 19:13:49,false,"Cardio","0.00","324","00:19:59","153","176","2.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:59","0:00","84.2","0:00","No","19:58.60","1","0.0","12","12","12"
Strength Training,2020-10-13 08:45:55,false,"Strength","0.00","750","02:04:07","106","148","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","218","19","2:04:07","0:00","80.6","0:00","No","02:04:06.67","1","0.0","14","14","14"
