Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-06 06:40:02,false,"Calero RC10.10","10.10","770","01:32:27","130","156","2.6","183","199","9:09","8:00","436","433","0.96","0.0","0.0","--","--","0.0","0.0","0.0","1:32:27","0:00","59.0","0:00","No","00:51.15","11","0.0"
Running,2020-11-05 11:49:49,false,"San Jose RC5k ","3.10","313","00:28:23","138","152","2.8","184","197","9:09","7:26","85","59","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:23","0:00","78.8","0:00","No","00:56.51","4","0.0"
Running,2020-11-05 06:43:14,false,"Leland GA8","8.01","613","01:00:10","138","153","3.0","188","202","7:31","6:24","30","33","1.14","0.0","0.0","--","--","0.0","0.0","0.0","1:00:10","0:00","57.2","0:00","No","00:02.56","9","0.0"
Running,2020-11-04 06:31:16,false,"ML11 ","11.04","1,080","01:38:36","146","167","3.9","183","199","8:56","7:55","141","194","0.99","0.0","0.0","--","--","0.0","0.0","0.0","1:38:36","0:00","57.2","0:00","No","00:21.12","12","0.0"
Running,2020-11-03 11:28:40,false,"San Jose RC5k","3.10","273","00:27:20","132","149","2.4","181","199","8:48","7:47","43","43","1.01","0.0","0.0","--","--","0.0","0.0","0.0","27:20","0:00","73.4","0:00","No","00:53.29","4","0.0"
Running,2020-11-03 06:33:21,false,"Leland EZ8 ","8.01","610","01:04:17","137","149","2.9","188","201","8:02","7:23","23","56","1.07","0.0","0.0","--","--","0.0","0.0","0.0","1:04:17","0:00","57.2","0:00","No","00:03.33","9","0.0"
Running,2020-11-02 11:39:37,false,"San Jose RC5k","3.11","303","00:29:24","137","153","2.8","179","192","9:28","8:57","79","69","0.95","0.0","0.0","--","--","0.0","0.0","0.0","29:24","0:00","75.2","0:00","No","01:01.17","4","0.0"
Running,2020-11-02 06:20:09,false,"San Jose RC7","7.01","533","01:05:31","128","145","2.2","183","195","9:21","8:27","131","128","0.94","0.0","0.0","--","--","0.0","0.0","0.0","1:05:31","0:00","53.6","0:00","No","00:04.15","8","0.0"
Running,2020-11-01 07:09:41,false,"Santa Teresa Hills 15","15.01","1,352","02:30:14","138","171","3.5","179","237","10:01","7:59","1,070","1,161","0.90","0.0","0.0","--","--","0.0","0.0","0.0","2:30:14","0:00","60.8","0:00","No","00:03.22","16","0.0"
Running,2020-10-31 07:53:23,false,"San Jose ML11 ","11.01","869","01:36:19","138","155","2.8","185","203","8:45","8:00","207","200","0.99","0.0","0.0","--","--","0.0","0.0","0.0","1:36:19","0:00","59.0","0:00","No","00:04.32","12","0.0"
Running,2020-10-30 07:46:53,false,"San Jose RC10k ","6.20","514","00:54:36","135","148","2.8","185","197","8:48","7:55","105","95","0.99","0.0","0.0","--","--","0.0","0.0","0.0","54:36","0:00","57.2","0:00","No","01:46.86","7","0.0"
Running,2020-10-29 07:25:05,false,"San Jose RC10k ","6.21","524","00:58:54","133","151","2.3","182","193","9:29","7:53","223","230","0.93","0.0","0.0","--","--","0.0","0.0","0.0","58:54","0:00","55.4","0:00","No","01:48.60","7","0.0"
Running,2020-10-28 07:59:23,false,"Hilly RC10k ","6.20","531","00:58:07","136","152","2.6","183","199","9:22","8:30","348","351","0.94","0.0","0.0","--","--","0.0","0.0","0.0","58:07","0:00","62.6","0:00","No","01:48.02","7","0.0"
Running,2020-10-27 07:18:58,false,"B.A.A. virtual RC10k ","6.22","548","00:55:44","136","149","2.8","186","199","8:58","8:19","98","105","0.96","0.0","0.0","--","--","0.0","0.0","0.0","55:44","0:00","55.4","0:00","No","01:56.27","7","0.0"
Running,2020-10-26 07:06:19,false,"B.A.A. virtual RC5k ","3.11","267","00:26:23","136","153","2.5","189","204","8:29","7:29","33","36","1.01","0.0","0.0","--","--","0.0","0.0","0.0","26:23","0:00","62.6","0:00","No","00:56.30","4","0.0"
Running,2020-10-25 07:49:23,false,"QS Hills 13.1","13.11","1,227","02:14:55","142","169","3.3","175","208","10:17","8:13","1,677","1,755","0.89","0.0","0.0","--","--","0.0","0.0","0.0","2:14:55","0:00","60.8","0:00","No","00:56.34","14","0.0"
Running,2020-10-24 07:43:36,false,"San Jose RC8","8.01","694","01:08:05","140","158","3.1","186","198","8:30","7:46","151","148","1.02","0.0","0.0","--","--","0.0","0.0","0.0","1:08:05","0:00","60.8","0:00","No","00:03.63","9","0.0"
Running,2020-10-23 07:23:16,false,"Hilly RC10k ","6.20","538","00:57:41","135","169","2.7","184","196","9:18","8:11","348","354","0.94","0.0","0.0","--","--","0.0","0.0","0.0","57:41","0:00","62.6","0:00","No","01:44.27","7","0.0"
Running,2020-10-22 07:43:15,false,"San Jose RC10k ","6.20","552","00:54:16","137","156","3.0","185","199","8:45","7:55","151","161","0.99","0.0","0.0","--","--","0.0","0.0","0.0","54:16","0:00","60.8","0:00","No","01:39.64","7","0.0"
Running,2020-10-21 07:31:13,false,"San Jose RC10k ","6.20","564","01:00:10","136","158","2.4","179","189","9:42","8:41","95","108","0.93","0.0","0.0","--","--","0.0","0.0","0.0","1:00:10","0:00","60.8","0:00","No","01:54.49","7","0.0"
Running,2020-10-20 07:28:07,false,"San Jose RC10k ","6.21","520","00:57:26","131","154","2.2","182","193","9:15","8:32","128","151","0.95","0.0","0.0","--","--","0.0","0.0","0.0","57:26","0:00","59.0","0:00","No","01:57.26","7","0.0"
Running,2020-10-19 07:26:16,false,"San Jose RC10k ","6.20","562","00:53:56","136","157","2.8","184","195","8:42","7:55","102","128","1.01","0.0","0.0","--","--","0.0","0.0","0.0","53:56","0:00","60.8","0:00","No","01:46.50","7","0.0"
Running,2020-10-18 07:08:00,false,"Virtual NYC Marathon ","26.23","2,010","04:29:49","130","168","3.3","153","201","10:17","6:58","259","285","1.00","0.0","0.0","--","--","0.0","0.0","0.0","4:29:49","0:00","66.2","0:00","No","05:04.96","27","0.0"
Running,2020-10-17 07:27:46,false,"San Jose EZ5","5.02","442","00:40:44","137","151","3.0","187","204","8:07","6:43","62","75","1.06","0.0","0.0","--","--","0.0","0.0","0.0","40:44","0:00","62.6","0:00","No","00:09.11","6","0.0"
Running,2020-10-16 07:14:30,false,"San Jose RC8","8.01","684","01:06:41","140","157","2.8","187","235","8:20","7:17","131","141","1.04","0.0","0.0","--","--","0.0","0.0","0.0","1:06:41","0:00","60.8","0:00","No","00:02.08","9","0.0"
