Date,,Stress Level,Hrs,Resting Heart Rate,Max Heart Rate,Active Calories,Total Steps
11-Nov,Wed,18,6.6,37,145,491,5384
12-Nov,Thu,21,8.3,40,154,560,7176
13-Nov,Fri,22,7.1,42,96,127,6053
14-Nov,Sat,30,7.2,42,109,130,5165
15-Nov,Sun,36,2.8,46,115,187,4740
16-Nov,Mon,16,8.3,42,102,128,5678
17-Nov,Tue,26,8.4,42,101,82,3244
18-Nov,Wed,26,8,46,103,90,4427
19-Nov,Thu,27,7.5,45,170,678,7783
20-Nov,Fri,24,6.6,44,116,203,6578
21-Nov,Sat,23,7.4,44,155,1036,16695
22-Nov,Sun,24,7.9,44,157,823,13624
23-Nov,Mon,26,7.9,43,144,680,12447
24-Nov,Tue,19,7.9,45,147,642,10904
25-Nov,Wed,18,8,43,123,554,11279
26-Nov,Thu,26,9.1,47,115,388,7272
27-Nov,Fri,27,9.2,45,121,463,12451
28-Nov,Sat,26,8.7,48,175,1189,17396
29-Nov,Sun,23,7.7,44,131,497,8128
30-Nov,Mon,15,8,43,128,355,5813
1-Dec,Tue,26,8.1,45,150,968,6730
2-Dec,Wed,27,6.7,45,159,760,6286
