Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-07-30 10:11:35,false,"Orange Running","5.03","647","00:44:14","150","177","3.0","161","179","8:47","6:45","56","56","1.13","0.0","0.0","0.0","0.0","0.0","44:14","0:00","82.4","0:00","No","00:37.50","6","0.0","17","17","17"
Running,2020-07-29 10:22:31,false,"Orange Running","2.76","358","00:27:47","147","174","2.4","141","182","10:05","4:47","36","52","1.10","0.0","0.0","0.0","0.0","0.0","27:47","0:00","78.8","0:00","No","05:02.52","3","0.0","21","21","21"
Running,2020-07-29 10:11:37,false,"Orange Running","1.01","122","00:09:13.9","137","151","1.4","146","214","9:09","7:09","20","--","1.20","0.0","0.0","0.0","0.0","0.0","9:13.9","0:00","82.4","0:00","No","00:14.58","2","0.0","21","21","21"
Running,2020-07-28 10:05:15,false,"Orange Running","3.32","412","00:27:33","149","166","2.8","163","175","8:18","7:07","49","49","1.19","0.0","0.0","0.0","0.0","0.0","27:33","0:00","78.8","0:00","No","02:42.68","4","0.0","15","15","15"
Running,2020-07-27 13:45:28,false,"Orange Running","3.13","396","00:24:23","158","172","3.1","161","174","7:48","6:37","59","43","1.28","0.0","0.0","0.0","0.0","0.0","24:23","0:00","84.2","0:00","No","01:05.97","4","0.0","19","19","19"
Running,2020-07-26 12:45:17,false,"Orange Running","6.32","748","00:42:30","174","192","4.5","165","184","6:44","4:56","112","98","1.45","0.0","0.0","0.0","0.0","0.0","42:30","0:00","84.2","0:00","No","01:52.65","7","0.0","15","15","15"
Running,2020-07-25 14:32:42,false,"Orange Running","3.36","435","00:24:36","173","184","3.6","163","174","7:20","6:36","59","56","1.35","0.0","0.0","0.0","0.0","0.0","24:36","0:00","84.2","0:00","No","02:47.24","4","0.0","19","19","19"
Running,2020-07-21 14:13:58,false,"Orange Running","5.00","649","00:37:58","167","186","4.0","163","209","7:35","5:41","85","49","1.30","0.0","0.0","0.0","0.0","0.0","37:58","0:00","84.2","0:00","No","00:04.01","6","0.0","25","25","25"
Running,2020-07-19 12:11:03,false,"Orange Running","3.10","403","00:25:15","156","171","3.1","161","222","8:08","7:32","62","46","1.23","0.0","0.0","0.0","0.0","0.0","25:15","0:00","87.8","0:00","No","00:50.15","4","0.0","14","14","14"
Running,2020-07-17 12:14:37,false,"Orange Running","10.00","1,406","01:20:25","171","186","5.0","160","180","8:02","5:39","148","135","1.25","0.0","0.0","0.0","0.0","0.0","1:20:25","0:00","86.0","0:00","No","04:27.11","11","0.0","16","16","16"
Running,2020-07-10 14:11:35,false,"San Jose Running","0.45","77","00:06:42.7","127","146","1.0","104","169","14:48","7:30","3","3","1.05","0.0","0.0","0.0","0.0","0.0","6:42.7","0:00","93.2","0:00","No","06:42.75","1","0.0","16","16","16"
Running,2020-07-09 13:20:37,false,"San Jose Running","3.16","445","00:36:08","143","186","2.8","118","210","11:26","3:52","102","89","1.20","0.0","0.0","0.0","0.0","0.0","36:08","0:00","87.8","0:00","No","02:46.63","4","0.0","17","17","17"
Running,2020-07-08 13:14:27,false,"San Jose Running","2.84","351","00:26:49","143","163","2.3","132","223","9:27","3:06","85","118","1.28","0.0","0.0","0.0","0.0","0.0","26:49","0:00","87.8","0:00","No","00:44.01","4","0.0","25","16","37"
